timestamp_utc,gpu_index,gpu_name,memory_mib,utilization_pct,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz
2026-09-26T18:31:46.411000+00:00,3,NVIDIA B200,33564,0,245.35,33,1965,3996
2026-09-26T18:31:46.411000+00:00,4,NVIDIA B200,33366,0,185.78,35,1965,3996
2026-09-26T18:31:46.411000+00:00,5,NVIDIA B200,33564,0,246.20,32,1965,3996
2026-09-26T18:31:46.411000+00:00,6,NVIDIA B200,33522,0,247.00,35,1965,3996
2026-09-26T18:31:46.411000+00:00,7,NVIDIA B200,33520,0,248.63,32,1965,3996
2026-09-26T18:31:47.411000+00:00,0,NVIDIA B200,33520,0,186.87,35,1965,3996
2026-09-26T18:31:47.411000+00:00,1,NVIDIA B200,33520,0,187.79,31,1965,3996
2026-09-26T18:31:47.411000+00:00,2,NVIDIA B200,33564,0,189.73,35,1965,3996
2026-09-26T18:31:47.411000+00:00,3,NVIDIA B200,33564,0,183.53,32,1965,3996
2026-09-26T18:31:47.411000+00:00,4,NVIDIA B200,33366,1,185.92,35,1965,3996
2026-09-26T18:31:47.411000+00:00,5,NVIDIA B200,33564,0,186.53,32,1965,3996
2026-09-26T18:31:47.411000+00:00,6,NVIDIA B200,33522,0,185.24,35,1965,3996
2026-09-26T18:31:47.411000+00:00,7,NVIDIA B200,33520,0,184.64,31,1965,3996
2026-09-26T18:31:48.411000+00:00,0,NVIDIA B200,33520,0,203.23,35,1965,3996
2026-09-26T18:31:48.411000+00:00,1,NVIDIA B200,33520,0,203.96,31,1965,3996
2026-09-26T18:31:48.411000+00:00,2,NVIDIA B200,33564,0,207.48,35,1965,3996
2026-09-26T18:31:48.411000+00:00,3,NVIDIA B200,33564,0,200.82,32,1965,3996
2026-09-26T18:31:48.411000+00:00,4,NVIDIA B200,33366,0,185.60,35,1965,3996
2026-09-26T18:31:48.412000+00:00,5,NVIDIA B200,33564,0,203.14,32,1965,3996
2026-09-26T18:31:48.412000+00:00,6,NVIDIA B200,33522,0,201.40,35,1965,3996
2026-09-26T18:31:48.412000+00:00,7,NVIDIA B200,33520,0,201.74,31,1965,3996
2026-09-26T18:31:49.412000+00:00,0,NVIDIA B200,33520,0,186.40,35,1965,3996
2026-09-26T18:31:49.412000+00:00,1,NVIDIA B200,33520,0,187.35,31,1965,3996
2026-09-26T18:31:49.412000+00:00,2,NVIDIA B200,33564,0,208.61,35,1965,3996
2026-09-26T18:31:49.412000+00:00,3,NVIDIA B200,33564,0,202.34,32,1965,3996
2026-09-26T18:31:49.412000+00:00,4,NVIDIA B200,33392,0,191.21,35,1965,3996
2026-09-26T18:31:49.412000+00:00,5,NVIDIA B200,33564,0,197.87,32,1965,3996
2026-09-26T18:31:49.412000+00:00,6,NVIDIA B200,33522,0,203.45,35,1965,3996
2026-09-26T18:31:49.412000+00:00,7,NVIDIA B200,33520,0,202.75,31,1965,3996
2026-09-26T18:31:50.412000+00:00,0,NVIDIA B200,33520,0,186.30,35,1965,3996
2026-09-26T18:31:50.412000+00:00,1,NVIDIA B200,33520,0,187.26,31,1965,3996
2026-09-26T18:31:50.412000+00:00,2,NVIDIA B200,33564,0,189.26,35,1965,3996
2026-09-26T18:31:50.412000+00:00,3,NVIDIA B200,33564,0,183.17,32,1965,3996
2026-09-26T18:31:50.412000+00:00,4,NVIDIA B200,33392,1,186.73,35,1965,3996
2026-09-26T18:31:50.412000+00:00,5,NVIDIA B200,33564,0,186.18,32,1965,3996
2026-09-26T18:31:50.412000+00:00,6,NVIDIA B200,33522,0,184.76,35,1965,3996
2026-09-26T18:31:50.412000+00:00,7,NVIDIA B200,33520,0,184.19,31,1965,3996
2026-09-26T18:31:51.412000+00:00,0,NVIDIA B200,33520,0,186.24,35,1965,3996
2026-09-26T18:31:51.412000+00:00,1,NVIDIA B200,33520,0,187.22,31,1965,3996
2026-09-26T18:31:51.413000+00:00,2,NVIDIA B200,33564,0,189.25,35,1965,3996
2026-09-26T18:31:51.413000+00:00,3,NVIDIA B200,33564,0,183.30,32,1965,3996
2026-09-26T18:31:51.429000+00:00,4,NVIDIA B200,33392,0,185.76,35,1965,3996
2026-09-26T18:31:51.429000+00:00,5,NVIDIA B200,33564,0,186.22,32,1965,3996
2026-09-26T18:31:51.429000+00:00,6,NVIDIA B200,33522,0,184.73,35,1965,3996
2026-09-26T18:31:51.429000+00:00,7,NVIDIA B200,33520,0,184.24,31,1965,3996
2026-09-26T18:31:52.430000+00:00,0,NVIDIA B200,33520,0,213.43,35,1965,3996
2026-09-26T18:31:52.430000+00:00,1,NVIDIA B200,33520,0,215.02,32,1965,3996
2026-09-26T18:31:52.430000+00:00,2,NVIDIA B200,33564,0,216.86,35,1965,3996
2026-09-26T18:31:52.430000+00:00,3,NVIDIA B200,33564,0,210.51,32,1965,3996
2026-09-26T18:31:52.430000+00:00,4,NVIDIA B200,33392,0,185.74,35,1965,3996
2026-09-26T18:31:52.430000+00:00,5,NVIDIA B200,33564,0,211.15,32,1965,3996
2026-09-26T18:31:52.430000+00:00,6,NVIDIA B200,33522,0,212.26,35,1965,3996
2026-09-26T18:31:52.430000+00:00,7,NVIDIA B200,33520,0,210.24,31,1965,3996
2026-09-26T18:31:53.430000+00:00,0,NVIDIA B200,33616,14,204.03,37,1965,3996
2026-09-26T18:31:53.430000+00:00,1,NVIDIA B200,33616,0,190.74,31,1965,3996
2026-09-26T18:31:53.430000+00:00,2,NVIDIA B200,33660,0,190.66,35,1965,3996
2026-09-26T18:31:53.430000+00:00,3,NVIDIA B200,33660,31,213.79,34,1965,3996
2026-09-26T18:31:53.430000+00:00,4,NVIDIA B200,33488,0,197.55,36,1965,3996
2026-09-26T18:31:53.430000+00:00,5,NVIDIA B200,33660,0,187.02,32,1965,3996
2026-09-26T18:31:53.430000+00:00,6,NVIDIA B200,33618,0,215.29,38,1965,3996
2026-09-26T18:31:53.430000+00:00,7,NVIDIA B200,33618,0,195.98,32,1965,3996
2026-09-26T18:31:54.430000+00:00,0,NVIDIA B200,33400,0,297.87,36,1965,3996
2026-09-26T18:31:54.430000+00:00,1,NVIDIA B200,33400,0,329.55,32,1965,3996
2026-09-26T18:31:54.430000+00:00,2,NVIDIA B200,33506,0,323.39,36,1965,3996
2026-09-26T18:31:54.430000+00:00,3,NVIDIA B200,33508,0,300.21,33,1965,3996
2026-09-26T18:31:54.430000+00:00,4,NVIDIA B200,33400,0,318.86,36,1965,3996
2026-09-26T18:31:54.430000+00:00,5,NVIDIA B200,33506,0,317.48,33,1965,3996
2026-09-26T18:31:54.430000+00:00,6,NVIDIA B200,33400,0,298.20,36,1965,3996
2026-09-26T18:31:54.430000+00:00,7,NVIDIA B200,33400,0,320.30,32,1965,3996
2026-09-26T18:31:55.431000+00:00,0,NVIDIA B200,33576,5,206.63,36,1965,3996
2026-09-26T18:31:55.431000+00:00,1,NVIDIA B200,33718,0,203.54,32,1965,3996
2026-09-26T18:31:55.431000+00:00,2,NVIDIA B200,33648,0,201.05,35,1965,3996
2026-09-26T18:31:55.431000+00:00,3,NVIDIA B200,33754,10,213.16,33,1965,3996
2026-09-26T18:31:55.431000+00:00,4,NVIDIA B200,33588,0,201.69,36,1965,3996
2026-09-26T18:31:55.431000+00:00,5,NVIDIA B200,33574,5,201.63,33,1965,3996
2026-09-26T18:31:55.431000+00:00,6,NVIDIA B200,33762,0,204.87,37,1965,3996
2026-09-26T18:31:55.431000+00:00,7,NVIDIA B200,33578,0,200.40,32,1965,3996
2026-09-26T18:31:56.431000+00:00,0,NVIDIA B200,34178,0,246.97,36,1965,3996
2026-09-26T18:31:56.432000+00:00,1,NVIDIA B200,34128,0,236.20,32,1965,3996
2026-09-26T18:31:56.432000+00:00,2,NVIDIA B200,34258,0,249.70,36,1965,3996
2026-09-26T18:31:56.432000+00:00,3,NVIDIA B200,34130,0,241.37,33,1965,3996
2026-09-26T18:31:56.432000+00:00,4,NVIDIA B200,34114,0,248.02,36,1965,3996
2026-09-26T18:31:56.432000+00:00,5,NVIDIA B200,34250,0,249.81,33,1965,3996
2026-09-26T18:31:56.432000+00:00,6,NVIDIA B200,34146,0,235.25,36,1965,3996
2026-09-26T18:31:56.432000+00:00,7,NVIDIA B200,34146,0,245.28,32,1965,3996
2026-09-26T18:31:57.432000+00:00,0,NVIDIA B200,34178,0,186.57,36,1965,3996
2026-09-26T18:31:57.433000+00:00,1,NVIDIA B200,34128,0,187.48,32,1965,3996
