unix_seconds,monotonic_seconds,sectors_read,sectors_written,io_milliseconds,sector_bytes
1790417393.803435,25742.076709541,73209652,888252312,1125772,512
1790417394.803697,25743.076971554,73209652,889168992,1126765,512
1790417395.8039584,25744.077232825,73209652,890087728,1127760,512
1790417396.8041956,25745.077469807,73209652,891004480,1128755,512
1790417397.8045068,25746.07778151,73209652,891921680,1129750,512
1790417398.8047748,25747.078049001,73209652,892839896,1130748,512
1790417399.8050876,25748.078362429,73209652,893757096,1131741,512
1790417400.805374,25749.078648912,73209652,894673264,1132736,512
1790417401.8057072,25750.078982176,73209652,895592000,1133734,512
1790417402.8059947,25751.079269666,73209652,896508168,1134729,512
1790417403.8062875,25752.079562481,73209652,897423392,1135722,512
1790417404.8066063,25753.079881468,73209652,898342488,1136716,512
1790417405.806967,25754.080241383,73209652,899260240,1137715,512
1790417406.8073275,25755.080602036,73209652,900177504,1138707,512
1790417407.807704,25756.080978715,73209652,901095464,1139705,512
1790417408.8079882,25757.081262456,73209652,902011952,1140696,512
1790417409.8082871,25758.081561542,73209652,902927256,1141684,512
1790417410.8086014,25759.081876355,73209652,903842560,1142675,512
1790417411.8089108,25760.082185916,73209652,904758768,1143673,512
1790417412.8091881,25761.082462871,73209652,905675456,1144663,512
1790417413.809497,25762.082771868,73209652,906593152,1145657,512
1790417414.8097706,25763.08304485,73209652,907512424,1146654,512
1790417415.8100483,25764.083322939,73209652,908429144,1147650,512
1790417416.8102949,25765.083569208,73209652,909346856,1148645,512
1790417417.8105135,25766.083787941,73209652,910262168,1149634,512
1790417418.810844,25767.084118753,73209652,911178832,1150626,512
1790417419.8111641,25768.084439066,73209652,912097936,1151622,512
1790417420.8115876,25769.084862541,73209652,913012192,1152612,512
1790417421.812049,25770.085323963,73209652,913929336,1153606,512
1790417422.8125753,25771.085850431,73209652,914846488,1154602,512
1790417423.813099,25772.086373992,73209652,915762504,1155598,512
1790417424.813604,25773.08687918,73209652,916680008,1156592,512
1790417425.8139987,25774.087273752,73209652,917599560,1157586,512
1790417426.8145368,25775.087811741,73209652,918515016,1158580,512
1790417427.8149126,25776.088187655,73209652,919433032,1159576,512
1790417428.8153894,25777.088664268,73209652,920351560,1160574,512
1790417429.8158805,25778.089155394,73209652,921269576,1161570,512
1790417430.8162785,25779.089553521,73209652,922186568,1162565,512
1790417431.816721,25780.089996115,73209652,923102696,1163556,512
1790417432.8172119,25781.090486758,73209652,924021736,1164554,512
1790417433.8177621,25782.09103727,73209652,924939272,1165549,512
1790417434.8182082,25783.091483107,73209652,925855768,1166545,512
1790417435.8186772,25784.091952249,73209652,926771736,1167537,512
1790417436.8190522,25785.092327267,73209652,927691496,1168534,512
1790417437.8195055,25786.092780479,73209652,928608808,1169527,512
1790417438.8199506,25787.093225695,73209652,929523576,1170522,512
1790417439.8203406,25788.093615738,73209652,930441976,1171514,512
1790417440.820669,25789.093943891,73209652,931357160,1172509,512
1790417441.8210914,25790.094366258,73209652,932275096,1173504,512
1790417442.8213913,25791.094666429,73209652,933192936,1174499,512
1790417443.821787,25792.095062052,73209652,934109456,1175494,512
1790417444.8222291,25793.095504228,73209652,935024128,1176483,512
1790417445.8225877,25794.095862793,73209652,935943752,1177476,512
1790417446.8229449,25795.096219775,73209652,936858616,1178468,512
1790417447.823263,25796.096538005,73209652,937776632,1179461,512
1790417448.8235822,25797.096857055,73209652,938694664,1180455,512
1790417449.8239713,25798.097246382,73209652,939611928,1181449,512
1790417450.824279,25799.097553696,73209652,940528920,1182440,512
1790417451.8245814,25800.09785632,73209652,941444888,1183432,512
1790417452.8249786,25801.098253718,73209652,942363680,1184422,512
1790417453.8254204,25802.098695286,73209652,943279216,1185414,512
1790417454.8258398,25803.099114819,73209652,944197608,1186410,512
1790417455.826249,25804.099523917,73209652,945115672,1187406,512
1790417456.8265705,25805.09984543,73209652,946031128,1188401,512
1790417457.8268948,25806.100169673,73209652,946948992,1189398,512
1790417458.827195,25807.100469919,73209652,947865272,1190390,512
