step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
277,13.34,1.8132,912204,3.061,3.273,3.101,3.319
278,13.26,1.1968,914516,3.017,3.205,3.057,3.251
279,13.25,1.3442,913385,3.029,3.191,3.067,3.237
280,13.15,1.6536,913520,2.984,3.094,3.021,3.136
281,13.33,1.4586,914059,3.022,3.223,3.059,3.262
282,13.22,1.4273,912524,2.987,3.086,3.025,3.125
283,13.34,1.4524,912667,3.02,3.166,3.058,3.205
284,13.2,1.3374,910848,2.958,3.037,2.995,3.08
285,13.41,1.5363,912632,3.018,3.245,3.057,3.286
286,13.34,1.3792,914721,2.984,3.125,3.021,3.167
287,13.36,1.152,915835,2.988,3.043,3.027,3.079
288,13.22,1.5284,914866,2.978,3.042,3.015,3.083
289,13.36,1.4257,913682,2.989,3.054,3.027,3.097
290,13.31,1.5366,914158,3.01,3.122,3.048,3.163
291,13.36,1.6919,914748,3.023,3.104,3.06,3.144
292,13.1,1.2668,914786,2.968,3.038,3.005,3.077
293,13.32,1.3137,913160,3.004,3.143,3.042,3.188
294,13.39,1.3833,916167,3.023,3.128,3.06,3.167
295,13.24,1.2887,916259,2.996,3.153,3.033,3.193
296,13.27,1.4811,915739,2.973,3.103,3.011,3.145
297,13.33,1.8501,914381,3.006,3.135,3.045,3.173
298,13.17,1.7226,910179,2.988,3.044,3.026,3.086
299,13.21,1.4507,909224,2.98,3.044,3.017,3.084
300,13.27,1.2948,913715,2.984,3.12,3.021,3.166
301,13.25,1.2834,911642,3.009,3.164,3.047,3.204
302,13.36,1.4573,916741,3.04,3.118,3.078,3.156
303,13.45,1.6304,913397,3.044,3.216,3.083,3.261
304,13.2,1.857,912868,3.005,3.119,3.042,3.157
305,13.37,2.7081,913696,3.024,3.075,3.062,3.116
306,13.15,1.6569,911128,2.975,3.027,3.012,3.068
307,13.28,1.3602,914660,3.002,3.134,3.039,3.176
308,13.35,1.2703,914205,2.993,3.082,3.03,3.12
309,13.23,1.0676,915042,2.986,3.096,3.024,3.137
310,13.45,1.1268,915054,3.018,3.218,3.058,3.265
311,13.33,0.9533,911512,3.038,3.197,3.077,3.237
312,13.35,1.565,913880,3.007,3.277,3.045,3.318
313,13.4,1.5302,915012,3.006,3.175,3.044,3.219
314,13.31,1.6857,916832,2.986,3.087,3.023,3.127
315,13.4,1.5032,912632,3.03,3.161,3.069,3.201
316,13.48,1.1691,914412,3.068,3.306,3.105,3.346
317,13.28,1.0697,913192,3.003,3.143,3.042,3.187
318,13.36,1.2132,915556,3.004,3.18,3.043,3.222
319,13.32,1.0902,910138,3.027,3.187,3.065,3.231
320,13.34,1.1636,912164,3.028,3.133,3.069,3.172
321,13.31,1.022,914999,2.993,3.073,3.032,3.117
322,13.33,1.4213,908190,3.021,3.109,3.06,3.154
323,13.28,1.5208,912883,2.998,3.142,3.034,3.179
324,13.22,1.3071,912589,3.0,3.092,3.039,3.13
325,13.33,1.2589,908244,3.0,3.186,3.038,3.227
