arm,split,condition,seed,steps,sum_reward,max_reward,success
robust,test,dim,100033,300,175.0410727604859,0.9999447042388444,False
baseline,test,dim,100034,300,0.08840614918303641,0.00052007785897446,False
robust,test,dim,100034,300,0.0,0.0,False
baseline,test,dim,100035,300,19.594507918284524,0.17954888836430144,False
robust,test,dim,100035,300,43.379565769404834,0.16885021540892334,False
baseline,test,dim,100036,300,6.350413373482716,0.05420710924453666,False
robust,test,dim,100036,300,196.46512858642245,0.9398609563563962,False
baseline,test,dim,100037,300,0.0,0.0,False
robust,test,dim,100037,248,141.53988920750064,1.0,True
baseline,test,dim,100038,300,106.04695204838372,0.7318471196294222,False
robust,test,dim,100038,300,171.9330131486517,0.9819588251421074,False
baseline,test,dim,100039,300,164.10521525039994,0.8291062685123318,False
robust,test,dim,100039,300,143.03146098839977,0.7730870430832394,False
baseline,test,dim,100040,300,1.3297143031805365e-05,9.158106599271998e-06,False
robust,test,dim,100040,300,219.1427338869088,0.9510072476158801,False
baseline,test,dim,100041,300,196.89625992423805,0.9892648315883715,False
robust,test,dim,100041,300,186.30099823508718,0.9809764565311011,False
baseline,test,dim,100042,300,68.2903420479287,0.5188436129818905,False
robust,test,dim,100042,300,0.0,0.0,False
baseline,test,dim,100043,300,13.47298846006732,0.31539287987593406,False
robust,test,dim,100043,300,61.04744292320739,0.37291635901180015,False
baseline,test,dim,100044,300,48.45008141986772,0.2870981215690493,False
robust,test,dim,100044,239,142.35185926878728,1.0,True
baseline,test,dim,100045,300,0.23529751983277708,0.0022664206076132057,False
robust,test,dim,100045,300,69.3027307838474,0.9244338778387666,False
baseline,test,dim,100046,300,0.8043896256657568,0.04403976230475547,False
robust,test,dim,100046,300,21.128406774079693,0.24125286297366,False
baseline,test,dim,100047,300,9.268238828781934,0.21878489518122538,False
robust,test,dim,100047,133,72.20615071936538,1.0,True
baseline,test,dim,100048,300,11.554454678459173,0.3384567713331012,False
robust,test,dim,100048,272,123.67405674254026,1.0,True
baseline,test,dim,100049,300,191.59657703047924,0.6529745532159883,False
robust,test,dim,100049,300,203.01581135767296,0.9100460833940068,False
baseline,test,dim,100050,300,127.22838448744561,0.6342989097067866,False
robust,test,dim,100050,300,173.40426912776365,0.9230702859023896,False
baseline,test,dim,100051,300,19.265497196694795,0.2726143114204257,False
robust,test,dim,100051,300,60.77370602400831,0.45547856637192147,False
baseline,test,dim,100052,300,109.26290247279277,0.9520898266064454,False
robust,test,dim,100052,300,148.65174334912126,0.9059317120775131,False
baseline,test,dim,100053,300,1.6143656862257836,0.16596987277460917,False
robust,test,dim,100053,115,44.55021067195169,1.0,True
baseline,test,dim,100054,300,20.673025530774645,0.24968383524061866,False
robust,test,dim,100054,127,77.40887916815858,1.0,True
baseline,test,dim,100055,300,181.8810692453569,0.9131395971904395,False
robust,test,dim,100055,300,96.97016218471421,0.4625788717071972,False
baseline,test,dim,100056,300,7.409097724771627,0.2373905425051623,False
robust,test,dim,100056,279,101.44746080073378,1.0,True
baseline,test,dim,100057,300,43.80489437076653,0.17399993752267778,False
robust,test,dim,100057,135,55.89731874514982,1.0,True
baseline,test,dim,100058,300,137.41437020499276,0.7763593133112647,False
robust,test,dim,100058,300,110.44713352122753,0.8022600891820219,False
baseline,test,dim,100059,300,238.3569834828789,0.952220258315033,False
robust,test,dim,100059,73,32.041155155762844,1.0,True
baseline,test,dim,100060,300,0.0,0.0,False
robust,test,dim,100060,300,0.8160024704153903,0.005737241800166985,False
baseline,test,dim,100061,300,0.0,0.0,False
robust,test,dim,100061,300,179.93682264433122,0.9793422667124184,False
baseline,test,dim,100062,300,181.69623156006128,0.7272038130888269,False
robust,test,dim,100062,300,19.452624869252933,0.2968167191200557,False
baseline,test,dim,100063,300,17.284425835810787,0.2708716838510385,False
robust,test,dim,100063,300,19.46260094534381,0.14183102558188937,False
baseline,test,dim,100064,300,0.6435412226582847,0.1334811990788453,False
robust,test,dim,100064,300,97.37918226927172,0.8758234291058654,False
baseline,test,dim,100065,300,94.29694373771596,0.4062193747038169,False
robust,test,dim,100065,300,212.57169426110406,0.9428434940439329,False
